2023-12-10 11:14:53,062:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,062:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,077:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,077:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,093:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,093:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,109:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,109:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,124:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,124:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,124:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,140:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,140:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,156:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
2023-12-10 11:14:53,156:INFO:root:mouseCrop: x_start: 530 , y_start: 375 , x_end: 382 , y_end: 292 , Cropping False
